year,lad_code,lad_name,region,nation,median_gross_annual_earnings
2010,E06000001,Hartlepool,North East,E,25087.0
2011,E06000001,Hartlepool,North East,E,25789.0
2012,E06000001,Hartlepool,North East,E,26511.0
2013,E06000001,Hartlepool,North East,E,27253.0
2014,E06000001,Hartlepool,North East,E,28017.0
2015,E06000001,Hartlepool,North East,E,28801.0
2016,E06000001,Hartlepool,North East,E,29665.0
2017,E06000001,Hartlepool,North East,E,30555.0
2018,E06000001,Hartlepool,North East,E,31472.0
2019,E06000001,Hartlepool,North East,E,32416.0
2020,E06000001,Hartlepool,North East,E,33389.0
2021,E06000001,Hartlepool,North East,E,34390.0
2022,E06000001,Hartlepool,North East,E,35422.0
2023,E06000001,Hartlepool,North East,E,36485.0
2024,E06000001,Hartlepool,North East,E,37579.0
2010,E06000002,Middlesbrough,North East,E,18875.0
2011,E06000002,Middlesbrough,North East,E,19404.0
2012,E06000002,Middlesbrough,North East,E,19947.0
2013,E06000002,Middlesbrough,North East,E,20506.0
2014,E06000002,Middlesbrough,North East,E,21080.0
2015,E06000002,Middlesbrough,North East,E,21670.0
2016,E06000002,Middlesbrough,North East,E,22320.0
2017,E06000002,Middlesbrough,North East,E,22989.0
2018,E06000002,Middlesbrough,North East,E,23679.0
2019,E06000002,Middlesbrough,North East,E,24389.0
2020,E06000002,Middlesbrough,North East,E,25121.0
2021,E06000002,Middlesbrough,North East,E,25875.0
2022,E06000002,Middlesbrough,North East,E,26651.0
2023,E06000002,Middlesbrough,North East,E,27451.0
2024,E06000002,Middlesbrough,North East,E,28274.0
2010,E06000003,Redcar and Cleveland,North East,E,20154.0
2011,E06000003,Redcar and Cleveland,North East,E,20718.0
2012,E06000003,Redcar and Cleveland,North East,E,21298.0
2013,E06000003,Redcar and Cleveland,North East,E,21895.0
2014,E06000003,Redcar and Cleveland,North East,E,22508.0
2015,E06000003,Redcar and Cleveland,North East,E,23138.0
2016,E06000003,Redcar and Cleveland,North East,E,23832.0
2017,E06000003,Redcar and Cleveland,North East,E,24547.0
2018,E06000003,Redcar and Cleveland,North East,E,25284.0
2019,E06000003,Redcar and Cleveland,North East,E,26042.0
2020,E06000003,Redcar and Cleveland,North East,E,26823.0
2021,E06000003,Redcar and Cleveland,North East,E,27628.0
2022,E06000003,Redcar and Cleveland,North East,E,28457.0
2023,E06000003,Redcar and Cleveland,North East,E,29311.0
2024,E06000003,Redcar and Cleveland,North East,E,30190.0
2010,E06000004,Stockton-on-Tees,North East,E,23912.0
2011,E06000004,Stockton-on-Tees,North East,E,24581.0
2012,E06000004,Stockton-on-Tees,North East,E,25269.0
2013,E06000004,Stockton-on-Tees,North East,E,25977.0
2014,E06000004,Stockton-on-Tees,North East,E,26704.0
2015,E06000004,Stockton-on-Tees,North East,E,27452.0
2016,E06000004,Stockton-on-Tees,North East,E,28275.0
2017,E06000004,Stockton-on-Tees,North East,E,29123.0
2018,E06000004,Stockton-on-Tees,North East,E,29997.0
2019,E06000004,Stockton-on-Tees,North East,E,30897.0
2020,E06000004,Stockton-on-Tees,North East,E,31824.0
2021,E06000004,Stockton-on-Tees,North East,E,32779.0
2022,E06000004,Stockton-on-Tees,North East,E,33762.0
2023,E06000004,Stockton-on-Tees,North East,E,34775.0
2024,E06000004,Stockton-on-Tees,North East,E,35818.0
2010,E06000005,Darlington,North East,E,20505.0
2011,E06000005,Darlington,North East,E,21079.0
2012,E06000005,Darlington,North East,E,21669.0
2013,E06000005,Darlington,North East,E,22276.0
2014,E06000005,Darlington,North East,E,22900.0
2015,E06000005,Darlington,North East,E,23541.0
2016,E06000005,Darlington,North East,E,24247.0
2017,E06000005,Darlington,North East,E,24975.0
2018,E06000005,Darlington,North East,E,25724.0
2019,E06000005,Darlington,North East,E,26495.0
2020,E06000005,Darlington,North East,E,27290.0
2021,E06000005,Darlington,North East,E,28109.0
2022,E06000005,Darlington,North East,E,28952.0
2023,E06000005,Darlington,North East,E,29821.0
2024,E06000005,Darlington,North East,E,30715.0
2010,E06000006,Halton,North West,E,23132.0
2011,E06000006,Halton,North West,E,23780.0
2012,E06000006,Halton,North West,E,24446.0
2013,E06000006,Halton,North West,E,25130.0
2014,E06000006,Halton,North West,E,25834.0
2015,E06000006,Halton,North West,E,26557.0
2016,E06000006,Halton,North West,E,27353.0
2017,E06000006,Halton,North West,E,28174.0
2018,E06000006,Halton,North West,E,29019.0
2019,E06000006,Halton,North West,E,29890.0
2020,E06000006,Halton,North West,E,30786.0
2021,E06000006,Halton,North West,E,31710.0
2022,E06000006,Halton,North West,E,32661.0
2023,E06000006,Halton,North West,E,33641.0
2024,E06000006,Halton,North West,E,34650.0
2010,E06000007,Warrington,North West,E,20785.0
2011,E06000007,Warrington,North West,E,21367.0
2012,E06000007,Warrington,North West,E,21966.0
2013,E06000007,Warrington,North West,E,22581.0
2014,E06000007,Warrington,North West,E,23213.0
2015,E06000007,Warrington,North West,E,23863.0
2016,E06000007,Warrington,North West,E,24579.0
2017,E06000007,Warrington,North West,E,25316.0
2018,E06000007,Warrington,North West,E,26076.0
2019,E06000007,Warrington,North West,E,26858.0
2020,E06000007,Warrington,North West,E,27664.0
2021,E06000007,Warrington,North West,E,28494.0
2022,E06000007,Warrington,North West,E,29348.0
2023,E06000007,Warrington,North West,E,30229.0
2024,E06000007,Warrington,North West,E,31136.0
2010,E06000008,Blackburn with Darwen,North West,E,23051.0
2011,E06000008,Blackburn with Darwen,North West,E,23696.0
2012,E06000008,Blackburn with Darwen,North West,E,24360.0
2013,E06000008,Blackburn with Darwen,North West,E,25042.0
2014,E06000008,Blackburn with Darwen,North West,E,25743.0
2015,E06000008,Blackburn with Darwen,North West,E,26464.0
2016,E06000008,Blackburn with Darwen,North West,E,27258.0
2017,E06000008,Blackburn with Darwen,North West,E,28076.0
2018,E06000008,Blackburn with Darwen,North West,E,28918.0
2019,E06000008,Blackburn with Darwen,North West,E,29785.0
2020,E06000008,Blackburn with Darwen,North West,E,30679.0
2021,E06000008,Blackburn with Darwen,North West,E,31599.0
2022,E06000008,Blackburn with Darwen,North West,E,32547.0
2023,E06000008,Blackburn with Darwen,North West,E,33524.0
2024,E06000008,Blackburn with Darwen,North West,E,34529.0
2010,E06000009,Blackpool,North West,E,21416.0
2011,E06000009,Blackpool,North West,E,22016.0
2012,E06000009,Blackpool,North West,E,22632.0
2013,E06000009,Blackpool,North West,E,23266.0
2014,E06000009,Blackpool,North West,E,23917.0
2015,E06000009,Blackpool,North West,E,24587.0
2016,E06000009,Blackpool,North West,E,25325.0
2017,E06000009,Blackpool,North West,E,26084.0
2018,E06000009,Blackpool,North West,E,26867.0
2019,E06000009,Blackpool,North West,E,27673.0
2020,E06000009,Blackpool,North West,E,28503.0
2021,E06000009,Blackpool,North West,E,29358.0
2022,E06000009,Blackpool,North West,E,30239.0
2023,E06000009,Blackpool,North West,E,31146.0
2024,E06000009,Blackpool,North West,E,32080.0
2010,E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,E,24021.0
2011,E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,E,24694.0
2012,E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,E,25385.0
2013,E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,E,26096.0
2014,E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,E,26827.0
2015,E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,E,27578.0
2016,E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,E,28406.0
2017,E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,E,29258.0
2018,E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,E,30136.0
2019,E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,E,31040.0
2020,E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,E,31971.0
2021,E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,E,32930.0
2022,E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,E,33918.0
2023,E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,E,34936.0
2024,E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,E,35984.0
2010,E06000011,East Riding of Yorkshire,Yorkshire and The Humber,E,21282.0
2011,E06000011,East Riding of Yorkshire,Yorkshire and The Humber,E,21878.0
2012,E06000011,East Riding of Yorkshire,Yorkshire and The Humber,E,22490.0
2013,E06000011,East Riding of Yorkshire,Yorkshire and The Humber,E,23120.0
2014,E06000011,East Riding of Yorkshire,Yorkshire and The Humber,E,23768.0
2015,E06000011,East Riding of Yorkshire,Yorkshire and The Humber,E,24433.0
2016,E06000011,East Riding of Yorkshire,Yorkshire and The Humber,E,25166.0
2017,E06000011,East Riding of Yorkshire,Yorkshire and The Humber,E,25921.0
2018,E06000011,East Riding of Yorkshire,Yorkshire and The Humber,E,26699.0
2019,E06000011,East Riding of Yorkshire,Yorkshire and The Humber,E,27500.0
2020,E06000011,East Riding of Yorkshire,Yorkshire and The Humber,E,28325.0
2021,E06000011,East Riding of Yorkshire,Yorkshire and The Humber,E,29174.0
2022,E06000011,East Riding of Yorkshire,Yorkshire and The Humber,E,30050.0
2023,E06000011,East Riding of Yorkshire,Yorkshire and The Humber,E,30951.0
2024,E06000011,East Riding of Yorkshire,Yorkshire and The Humber,E,31880.0
2010,E06000012,North East Lincolnshire,Yorkshire and The Humber,E,21802.0
2011,E06000012,North East Lincolnshire,Yorkshire and The Humber,E,22412.0
2012,E06000012,North East Lincolnshire,Yorkshire and The Humber,E,23040.0
2013,E06000012,North East Lincolnshire,Yorkshire and The Humber,E,23685.0
2014,E06000012,North East Lincolnshire,Yorkshire and The Humber,E,24348.0
2015,E06000012,North East Lincolnshire,Yorkshire and The Humber,E,25030.0
2016,E06000012,North East Lincolnshire,Yorkshire and The Humber,E,25781.0
2017,E06000012,North East Lincolnshire,Yorkshire and The Humber,E,26554.0
2018,E06000012,North East Lincolnshire,Yorkshire and The Humber,E,27351.0
2019,E06000012,North East Lincolnshire,Yorkshire and The Humber,E,28172.0
2020,E06000012,North East Lincolnshire,Yorkshire and The Humber,E,29017.0
2021,E06000012,North East Lincolnshire,Yorkshire and The Humber,E,29887.0
2022,E06000012,North East Lincolnshire,Yorkshire and The Humber,E,30784.0
2023,E06000012,North East Lincolnshire,Yorkshire and The Humber,E,31707.0
2024,E06000012,North East Lincolnshire,Yorkshire and The Humber,E,32659.0
2010,E06000013,North Lincolnshire,Yorkshire and The Humber,E,18385.0
2011,E06000013,North Lincolnshire,Yorkshire and The Humber,E,18900.0
2012,E06000013,North Lincolnshire,Yorkshire and The Humber,E,19429.0
2013,E06000013,North Lincolnshire,Yorkshire and The Humber,E,19973.0
2014,E06000013,North Lincolnshire,Yorkshire and The Humber,E,20532.0
2015,E06000013,North Lincolnshire,Yorkshire and The Humber,E,21107.0
2016,E06000013,North Lincolnshire,Yorkshire and The Humber,E,21741.0
2017,E06000013,North Lincolnshire,Yorkshire and The Humber,E,22393.0
2018,E06000013,North Lincolnshire,Yorkshire and The Humber,E,23065.0
2019,E06000013,North Lincolnshire,Yorkshire and The Humber,E,23757.0
2020,E06000013,North Lincolnshire,Yorkshire and The Humber,E,24469.0
2021,E06000013,North Lincolnshire,Yorkshire and The Humber,E,25203.0
