date,lad_code,lad_name,region,nation,average_price
2010-01-01,E06000001,Hartlepool,North East,E,93325.0
2010-02-01,E06000001,Hartlepool,North East,E,93557.0
2010-03-01,E06000001,Hartlepool,North East,E,93552.0
2010-04-01,E06000001,Hartlepool,North East,E,93769.0
2010-05-01,E06000001,Hartlepool,North East,E,94453.0
2010-06-01,E06000001,Hartlepool,North East,E,94964.0
2010-07-01,E06000001,Hartlepool,North East,E,95378.0
2010-08-01,E06000001,Hartlepool,North East,E,95648.0
2010-09-01,E06000001,Hartlepool,North East,E,95369.0
2010-10-01,E06000001,Hartlepool,North East,E,95305.0
2010-11-01,E06000001,Hartlepool,North East,E,95421.0
2010-12-01,E06000001,Hartlepool,North East,E,95824.0
2011-01-01,E06000001,Hartlepool,North East,E,96089.0
2011-02-01,E06000001,Hartlepool,North East,E,96686.0
2011-03-01,E06000001,Hartlepool,North East,E,97100.0
2011-04-01,E06000001,Hartlepool,North East,E,97363.0
2011-05-01,E06000001,Hartlepool,North East,E,98444.0
2011-06-01,E06000001,Hartlepool,North East,E,98841.0
2011-07-01,E06000001,Hartlepool,North East,E,98928.0
2011-08-01,E06000001,Hartlepool,North East,E,99870.0
2011-09-01,E06000001,Hartlepool,North East,E,100572.0
2011-10-01,E06000001,Hartlepool,North East,E,101514.0
2011-11-01,E06000001,Hartlepool,North East,E,101725.0
2011-12-01,E06000001,Hartlepool,North East,E,102354.0
2012-01-01,E06000001,Hartlepool,North East,E,102053.0
2012-02-01,E06000001,Hartlepool,North East,E,102610.0
2012-03-01,E06000001,Hartlepool,North East,E,102806.0
2012-04-01,E06000001,Hartlepool,North East,E,102540.0
2012-05-01,E06000001,Hartlepool,North East,E,103196.0
2012-06-01,E06000001,Hartlepool,North East,E,102754.0
2012-07-01,E06000001,Hartlepool,North East,E,102274.0
2012-08-01,E06000001,Hartlepool,North East,E,102670.0
2012-09-01,E06000001,Hartlepool,North East,E,103148.0
2012-10-01,E06000001,Hartlepool,North East,E,103783.0
2012-11-01,E06000001,Hartlepool,North East,E,104333.0
2012-12-01,E06000001,Hartlepool,North East,E,105176.0
2013-01-01,E06000001,Hartlepool,North East,E,105716.0
2013-02-01,E06000001,Hartlepool,North East,E,105928.0
2013-03-01,E06000001,Hartlepool,North East,E,106164.0
2013-04-01,E06000001,Hartlepool,North East,E,106317.0
2013-05-01,E06000001,Hartlepool,North East,E,106702.0
