lad_code,lad_name,region,nation,current_price,median_annual_earnings,price_to_income_ratio,bank_rate_scenario,mortgage_rate_pct,scenario,prob_negative_equity,monthly_drift,monthly_vol
E06000001,Hartlepool,North East,E,146858.0,37579.0,3.9079805210356846,2.75,4.044,minus_1pct,0.0,0.003364,0.009577
E06000002,Middlesbrough,North East,E,170889.0,28274.0,6.044033387564547,2.75,4.044,minus_1pct,0.0,0.003506,0.008221
E06000003,Redcar and Cleveland,North East,E,162513.0,30190.0,5.383007618416694,2.75,4.044,minus_1pct,0.0,0.003379,0.00754
E06000004,Stockton-on-Tees,North East,E,203870.0,35818.0,5.69183092299961,2.75,4.044,minus_1pct,0.0,0.004483,0.008425
E06000005,Darlington,North East,E,160614.0,30715.0,5.229171414618265,2.75,4.044,minus_1pct,0.0,0.003626,0.007867
E06000047,County Durham,North East,E,176733.0,33942.0,5.206911790701786,2.75,4.044,minus_1pct,0.0,0.003997,0.008262
E08000037,Gateshead,North East,E,172849.0,31414.0,5.502291971732348,2.75,4.044,minus_1pct,0.0,0.003413,0.00702
E08000021,Newcastle upon Tyne,North East,E,152236.0,28335.0,5.372719251808717,2.75,4.044,minus_1pct,0.0,0.002828,0.009505
E08000022,North Tyneside,North East,E,152114.0,25993.0,5.852114030700573,2.75,4.044,minus_1pct,0.0,0.003366,0.008737
E08000023,South Tyneside,North East,E,186765.0,31868.0,5.860581147232334,2.75,4.044,minus_1pct,0.0,0.003711,0.008031
E08000024,Sunderland,North East,E,132296.0,33974.0,3.894036616235945,2.75,4.044,minus_1pct,0.0,0.004468,0.007223
E06000057,Northumberland,North East,E,177249.0,32216.0,5.501893469083685,2.75,4.044,minus_1pct,0.0,0.003998,0.007485
E06000006,Halton,North West,E,222324.0,34650.0,6.416277056277056,2.75,4.044,minus_1pct,0.0,0.004134,0.007733
E06000007,Warrington,North West,E,207785.0,31136.0,6.6734647995889,2.75,4.044,minus_1pct,0.0,0.003458,0.008018
E06000008,Blackburn with Darwen,North West,E,197242.0,34529.0,5.712357728286368,2.75,4.044,minus_1pct,0.0,0.004101,0.008348
E06000009,Blackpool,North West,E,202058.0,32080.0,6.29856608478803,2.75,4.044,minus_1pct,0.0,0.003892,0.008008
E08000001,Bolton,North West,E,236447.0,33718.0,7.0124859125689545,2.75,4.044,minus_1pct,0.0,0.003581,0.006655
